"county","total_cases","date","new_cases"
"Nantucket",11,2020-05-08,0
"Middlesex",17307,2020-05-09,293
"Suffolk",15119,2020-05-09,175
"Essex",11211,2020-05-09,216
"Worcester",7611,2020-05-09,201
"Norfolk",6887,2020-05-09,86
"Plymouth",6311,2020-05-09,117
"Bristol",4847,2020-05-09,177
"Hampden",4647,2020-05-09,125
"Barnstable",1056,2020-05-09,18
"Hampshire",659,2020-05-09,5
"Berkshire",472,2020-05-09,0
"Franklin",294,2020-05-09,5
"Unknown",288,2020-05-09,-9
"Dukes",23,2020-05-09,1
"Nantucket",11,2020-05-09,0
"Middlesex",17589,2020-05-10,282
"Suffolk",15279,2020-05-10,160
"Essex",11353,2020-05-10,142
"Worcester",7743,2020-05-10,132
"Norfolk",6952,2020-05-10,65
"Plymouth",6382,2020-05-10,71
"Bristol",4931,2020-05-10,84
"Hampden",4714,2020-05-10,67
"Barnstable",1068,2020-05-10,12
"Hampshire",676,2020-05-10,17
"Berkshire",475,2020-05-10,3
"Unknown",302,2020-05-10,14
"Franklin",294,2020-05-10,0
"Dukes",23,2020-05-10,0
"Nantucket",12,2020-05-10,1
"Middlesex",17774,2020-05-11,185
"Suffolk",15356,2020-05-11,77
"Essex",11432,2020-05-11,79
"Worcester",7818,2020-05-11,75
"Norfolk",7004,2020-05-11,52
"Plymouth",6457,2020-05-11,75
"Bristol",4999,2020-05-11,68
"Hampden",4763,2020-05-11,49
"Barnstable",1075,2020-05-11,7
"Hampshire",688,2020-05-11,12
"Berkshire",478,2020-05-11,3
"Franklin",296,2020-05-11,2
"Unknown",287,2020-05-11,-15
"Dukes",23,2020-05-11,0
"Nantucket",12,2020-05-11,0
"Middlesex",17953,2020-05-12,179
"Suffolk",15454,2020-05-12,98
"Essex",11572,2020-05-12,140
"Worcester",7959,2020-05-12,141
"Norfolk",7046,2020-05-12,42
"Plymouth",6507,2020-05-12,50
"Bristol",5125,2020-05-12,126
"Hampden",4831,2020-05-12,68
"Barnstable",1093,2020-05-12,18
"Hampshire",702,2020-05-12,14
"Berkshire",485,2020-05-12,7
"Franklin",297,2020-05-12,1
"Unknown",273,2020-05-12,-14
"Dukes",23,2020-05-12,0
"Nantucket",12,2020-05-12,0
"Middlesex",18201,2020-05-13,248
"Suffolk",15587,2020-05-13,133
"Essex",11703,2020-05-13,131
"Worcester",8241,2020-05-13,282
"Norfolk",7129,2020-05-13,83
"Plymouth",6592,2020-05-13,85
"Bristol",5249,2020-05-13,124
"Hampden",4889,2020-05-13,58
"Barnstable",1111,2020-05-13,18
"Hampshire",708,2020-05-13,6
"Berkshire",486,2020-05-13,1
"Franklin",302,2020-05-13,5
"Unknown",264,2020-05-13,-9
"Dukes",23,2020-05-13,0
"Nantucket",12,2020-05-13,0
"Middlesex",18381,2020-05-14,180
"Suffolk",15881,2020-05-14,294
"Essex",11950,2020-05-14,247
"Worcester",8555,2020-05-14,314
"Norfolk",7258,2020-05-14,129
"Plymouth",6774,2020-05-14,182
"Bristol",5440,2020-05-14,191
"Hampden",4974,2020-05-14,85
"Barnstable",1119,2020-05-14,8
"Hampshire",724,2020-05-14,16
"Berkshire",488,2020-05-14,2
"Franklin",302,2020-05-14,0
"Unknown",300,2020-05-14,36
"Dukes",24,2020-05-14,1
"Nantucket",12,2020-05-14,0
"Middlesex",18683,2020-05-15,302
"Suffolk",15996,2020-05-15,115
"Essex",12131,2020-05-15,181
"Worcester",8786,2020-05-15,231
"Norfolk",7331,2020-05-15,73
"Plymouth",6875,2020-05-15,101
"Bristol",5590,2020-05-15,150
"Hampden",5038,2020-05-15,64
"Barnstable",1137,2020-05-15,18
"Hampshire",738,2020-05-15,14
"Berkshire",491,2020-05-15,3
"Franklin",304,2020-05-15,2
"Unknown",285,2020-05-15,-15
"Dukes",24,2020-05-15,0
"Nantucket",12,2020-05-15,0
"Middlesex",18883,2020-05-16,200
"Suffolk",16346,2020-05-16,350
"Essex",12314,2020-05-16,183
"Worcester",9067,2020-05-16,281
"Norfolk",7412,2020-05-16,81
"Plymouth",6987,2020-05-16,112
"Bristol",5748,2020-05-16,158
"Hampden",5133,2020-05-16,95
"Barnstable",1147,2020-05-16,10
"Hampshire",751,2020-05-16,13
"Berkshire",495,2020-05-16,4
"Unknown",309,2020-05-16,24
"Franklin",304,2020-05-16,0
"Dukes",25,2020-05-16,1
"Nantucket",12,2020-05-16,0
"Middlesex",19129,2020-05-17,246
"Suffolk",16479,2020-05-17,133
"Essex",12462,2020-05-17,148
"Worcester",9252,2020-05-17,185
"Norfolk",7474,2020-05-17,62
"Plymouth",7064,2020-05-17,77
"Bristol",5870,2020-05-17,122
"Hampden",5205,2020-05-17,72
"Barnstable",1150,2020-05-17,3
"Hampshire",767,2020-05-17,16
"Berkshire",497,2020-05-17,2
"Unknown",315,2020-05-17,6
"Franklin",308,2020-05-17,4
"Dukes",26,2020-05-17,1
"Nantucket",12,2020-05-17,0
"Middlesex",19345,2020-05-18,216
"Suffolk",16671,2020-05-18,192
"Essex",12587,2020-05-18,125
"Worcester",9442,2020-05-18,190
"Norfolk",7524,2020-05-18,50
"Plymouth",7139,2020-05-18,75
"Bristol",5996,2020-05-18,126
"Hampden",5264,2020-05-18,59
"Barnstable",1155,2020-05-18,5
"Hampshire",774,2020-05-18,7
"Berkshire",497,2020-05-18,0
"Unknown",312,2020-05-18,-3
"Franklin",308,2020-05-18,0
"Dukes",26,2020-05-18,0
"Nantucket",12,2020-05-18,0
"Middlesex",19504,2020-05-19,159
"Suffolk",16825,2020-05-19,154
"Essex",12748,2020-05-19,161
"Worcester",9582,2020-05-19,140
"Norfolk",7565,2020-05-19,41
"Plymouth",7198,2020-05-19,59
"Bristol",6080,2020-05-19,84
"Hampden",5335,2020-05-19,71
"Barnstable",1177,2020-05-19,22
"Hampshire",780,2020-05-19,6
"Berkshire",497,2020-05-19,0
"Franklin",308,2020-05-19,0
"Unknown",288,2020-05-19,-24
"Dukes",26,2020-05-19,0
"Nantucket",12,2020-05-19,0
"Middlesex",19708,2020-05-20,204
"Suffolk",16962,2020-05-20,137
"Essex",12920,2020-05-20,172
"Worcester",9780,2020-05-20,198
"Norfolk",7607,2020-05-20,42
"Plymouth",7280,2020-05-20,82
"Bristol",6165,2020-05-20,85
"Hampden",5418,2020-05-20,83
"Barnstable",1197,2020-05-20,20
"Hampshire",792,2020-05-20,12
"Berkshire",500,2020-05-20,3
"Franklin",309,2020-05-20,1
"Unknown",294,2020-05-20,6
"Dukes",26,2020-05-20,0
"Nantucket",12,2020-05-20,0
"Middlesex",19930,2020-05-21,222
"Suffolk",17089,2020-05-21,127
"Essex",13063,2020-05-21,143
"Worcester",9997,2020-05-21,217
"Norfolk",7691,2020-05-21,84
"Plymouth",7366,2020-05-21,86
"Bristol",6286,2020-05-21,121
"Hampden",5492,2020-05-21,74
"Barnstable",1202,2020-05-21,5
"Hampshire",806,2020-05-21,14
"Berkshire",509,2020-05-21,9
"Franklin",310,2020-05-21,1
"Unknown",304,2020-05-21,10
"Dukes",26,2020-05-21,0
"Nantucket",13,2020-05-21,1
"Middlesex",20085,2020-05-22,155
"Suffolk",17180,2020-05-22,91
"Essex",13221,2020-05-22,158
"Worcester",10101,2020-05-22,104
"Norfolk",7724,2020-05-22,33
"Plymouth",7424,2020-05-22,58
"Bristol",6362,2020-05-22,76
"Hampden",5568,2020-05-22,76
"Barnstable",1257,2020-05-22,55
"Hampshire",812,2020-05-22,6
"Berkshire",510,2020-05-22,1
"Franklin",310,2020-05-22,0
"Unknown",296,2020-05-22,-8
"Dukes",26,2020-05-22,0
"Nantucket",13,2020-05-22,0
